symbol,name,market_cap,price,volume_24h,price_chg_24h,oi_usd,oi_mc_ratio,funding_rate
ACU,Acurast,47821170,0.127148,3505247,-9.15619,0.0,0.0,5e-05
AKT,Akash Network,166876268,0.560769,5189289,-5.05786,0.0,0.0,5e-05
ALCH,Alchemist AI,31179141,0.0311806,2739637,4.34406,0.0,0.0,5e-05
APR,Capricorn,39519743,0.142253,12704274,-20.31645,0.0,0.0,5e-05
ARC,AI Rig Complex,71919846,0.071921,3745898,-2.00908,0.0,0.0,0.00028626
ARX,ARCS,42420020,0.00865715,27621,0.02453,0.0,0.0,5e-05
ATH,Aethir,95699657,0.00475437,8397107,-1.90148,0.0,0.0,5e-05
BEAT,Audiera,30097108,0.088063,6148735,-30.69207,0.0,0.0,5e-05
BIRB,Moonbirds,19094968,0.067,10648418,8.52462,0.0,0.0,-0.00053791
BLESS,Bless,14603597,0.00792955,1715899,-12.38437,0.0,0.0,5e-05
BLUAI,Bluwhale,13364272,0.01088296,2716776,-4.22166,0.0,0.0,0.00010041
BR,Bedrock,91624394,0.313067,2751185,13.28314,0.0,0.0,0.00016718
BRETT,Brett,49326216,0.00497762,3611670,-6.6253,0.0,0.0,5e-05
BSV,Bitcoin SV,325392051,16.2,5182359,-5.5961,0.0,0.0,5e-05
BTW,Bitway,1219482408,0.450302,9332444,3.53377,0.0,0.0,0.00031928
CARV,CARV,23202424,0.03500256,724358,-4.2488,0.0,0.0,5e-05
CC,Canton,4142584749,0.104709,10546121,-4.32495,0.0,0.0,5e-05
CHILLGUY,Just a chill guy,12456372,0.01245711,4279960,-9.141,0.0,0.0,5e-05
CLANKER,tokenbot,12332945,12.5,1274083,-10.77956,0.0,0.0,5e-05
COAI,ChainOpera AI,56042101,0.298096,2333693,-5.98307,0.0,0.0,5e-05
DEEP,DeepBook,38735739,0.0154943,3502643,-2.02773,0.0,0.0,5e-05
DOOD,Doodles,12868078,0.00164975,9384500,-4.16213,0.0,0.0,5e-05
DOS,DAPPOS,41327088,0.206635,5940704,-2.7643,0.0,0.0,5e-05
DRIFT,Drift Protocol,8275969,0.01157099,1992404,-3.55751,0.0,0.0,5e-05
EDGE,edgeX,205269229,0.586484,3623173,3.8018,0.0,0.0,0.00015587
ELSA,Elsa,11314631,0.04941318,3039165,0.09548,0.0,0.0,5e-05
ESPORTS,Yooldo Games,1786359,0.01176784,2034184,-11.36834,0.0,0.0,6.079e-05
ETHW,EthereumPoW,28458637,0.263949,1635465,-1.93359,0.0,0.0,5e-05
EVAA,EVAA Protocol,3326018,0.502574,1736912,-15.6181,0.0,0.0,5e-05
